# Scanlist: 20260520_Pt(5)Co(5)-wu89_15mA_8725Hz_scan-x_PMOKE_12p50mm_TestSamba_lam2  2026-05-21T00:14:38.463324
# path	relay_sign	field_T
/home/intermag/moke_data/20260520/170629_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.050000
/home/intermag/moke_data/20260520/171648_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.050000
/home/intermag/moke_data/20260520/172817_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049400
/home/intermag/moke_data/20260520/173832_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049400
/home/intermag/moke_data/20260520/174948_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049300
/home/intermag/moke_data/20260520/180003_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049300
/home/intermag/moke_data/20260520/181120_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049600
/home/intermag/moke_data/20260520/182131_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049600
/home/intermag/moke_data/20260520/183250_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260520/184304_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260520/185423_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049400
/home/intermag/moke_data/20260520/190439_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049400
/home/intermag/moke_data/20260520/191555_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049100
/home/intermag/moke_data/20260520/192610_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049100
/home/intermag/moke_data/20260520/193733_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049300
/home/intermag/moke_data/20260520/194754_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049300
/home/intermag/moke_data/20260520/195914_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260520/200931_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260520/202053_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049300
/home/intermag/moke_data/20260520/203114_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049300
/home/intermag/moke_data/20260520/204233_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049300
/home/intermag/moke_data/20260520/205251_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049300
/home/intermag/moke_data/20260520/210416_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049100
/home/intermag/moke_data/20260520/211435_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049100
/home/intermag/moke_data/20260520/212552_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260520/213609_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260520/214732_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049800
/home/intermag/moke_data/20260520/215749_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049800
/home/intermag/moke_data/20260520/220913_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049200
/home/intermag/moke_data/20260520/221934_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049200
/home/intermag/moke_data/20260520/223100_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049200
/home/intermag/moke_data/20260520/223739_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049200
/home/intermag/moke_data/20260520/224902_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260520/225920_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260520/231044_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049600
/home/intermag/moke_data/20260520/232102_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049600
/home/intermag/moke_data/20260520/233223_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049300
/home/intermag/moke_data/20260520/234241_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049300
/home/intermag/moke_data/20260520/235403_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049400
/home/intermag/moke_data/20260521/000421_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049400
