# Scanlist: 20260521_Pt(5)Co(5)-wu89_12.5mA_8725Hz_scan-x_PMOKE_12p50mm_TestSamba_lam2  2026-05-21T07:27:26.167291
# path	relay_sign	field_T
/home/intermag/moke_data/20260521/002301_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.050000
/home/intermag/moke_data/20260521/003318_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.050000
/home/intermag/moke_data/20260521/004439_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049200
/home/intermag/moke_data/20260521/005456_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049200
/home/intermag/moke_data/20260521/010620_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049600
/home/intermag/moke_data/20260521/011637_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049600
/home/intermag/moke_data/20260521/012758_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049200
/home/intermag/moke_data/20260521/013437_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049200
/home/intermag/moke_data/20260521/014559_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049400
/home/intermag/moke_data/20260521/015616_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049400
/home/intermag/moke_data/20260521/020734_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049300
/home/intermag/moke_data/20260521/021751_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049300
/home/intermag/moke_data/20260521/022913_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049400
/home/intermag/moke_data/20260521/023930_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049400
/home/intermag/moke_data/20260521/025048_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260521/030105_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260521/031228_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049600
/home/intermag/moke_data/20260521/032245_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049600
/home/intermag/moke_data/20260521/033404_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260521/034046_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260521/035209_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049400
/home/intermag/moke_data/20260521/040226_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049400
/home/intermag/moke_data/20260521/041344_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049100
/home/intermag/moke_data/20260521/042402_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049100
/home/intermag/moke_data/20260521/043523_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049600
/home/intermag/moke_data/20260521/044540_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049600
/home/intermag/moke_data/20260521/045657_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049100
/home/intermag/moke_data/20260521/050714_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049100
/home/intermag/moke_data/20260521/051840_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049300
/home/intermag/moke_data/20260521/052857_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049300
/home/intermag/moke_data/20260521/054015_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260521/055033_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260521/060157_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049200
/home/intermag/moke_data/20260521/061214_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049200
/home/intermag/moke_data/20260521/062334_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049400
/home/intermag/moke_data/20260521/063351_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049400
/home/intermag/moke_data/20260521/064515_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	-0.049100
/home/intermag/moke_data/20260521/065532_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	-0.049100
/home/intermag/moke_data/20260521/070650_SPATIAL_Pt_5_Co_5_-wu89_scan_x_trace.h5	+1	0.049100
/home/intermag/moke_data/20260521/071708_SPATIAL_Pt_5_Co_5_-wu89_scan_x_retrace.h5	+1	0.049100
